date,ticker,actual,forecast
2022-08-08,AMZN,162.7052,162.2942
2022-08-09,AMZN,162.75452,161.91866
2022-08-10,AMZN,167.0178,161.97995
2022-08-11,AMZN,166.27765,165.9645
2022-08-12,AMZN,169.84026,165.31526
2022-08-15,AMZN,170.91594,168.6895
2022-08-16,AMZN,170.75806,169.7634
2022-08-17,AMZN,172.25812,169.74371
2022-08-18,AMZN,171.86334,171.09103
2022-08-19,AMZN,169.26785,170.77596
2022-08-22,AMZN,165.36974,168.33556
2022-08-23,AMZN,165.03421,164.69673
2022-08-24,AMZN,165.33026,164.35674
2022-08-25,AMZN,167.79742,164.63533
2022-08-26,AMZN,161.47159,166.95549
2022-08-29,AMZN,159.26102,161.25145
2022-08-30,AMZN,156.82346,158.96861
2022-08-31,AMZN,155.15562,156.54723
2022-09-01,AMZN,155.88594,154.87798
2022-09-02,AMZN,153.76413,155.51613
2022-09-06,AMZN,152.50095,153.46455
2022-09-07,AMZN,153.9122,152.17604
2022-09-08,AMZN,152.43187,153.50868
2022-09-09,AMZN,155.30365,152.06541
2022-09-12,AMZN,161.2841,154.88008
2022-09-13,AMZN,151.82,160.45726
2022-09-14,AMZN,153.27069,151.63805
2022-09-15,AMZN,150.36931,152.90106
2022-09-16,AMZN,148.72125,150.15913
2022-09-19,AMZN,152.45161,148.53441
2022-09-20,AMZN,154.83981,152.17021
2022-09-21,AMZN,151.7016,154.61385
2022-09-22,AMZN,150.73451,151.49678
2022-09-23,AMZN,148.45479,150.495
2022-09-26,AMZN,148.79034,148.32704
2022-09-27,AMZN,149.76732,148.65822
2022-09-28,AMZN,147.8725,149.61513
2022-09-29,AMZN,140.60918,147.74376
2022-09-30,AMZN,136.38536,140.67448
2022-10-03,AMZN,140.57957,136.48405
2022-10-04,AMZN,144.18167,140.5121
2022-10-05,AMZN,144.4777,144.09013
2022-10-06,AMZN,143.52046,144.3436
2022-10-07,AMZN,138.25056,143.41856
2022-10-10,AMZN,138.57623,138.25456
2022-10-11,AMZN,137.15514,138.55586
2022-10-12,AMZN,136.52354,137.22609
2022-10-13,AMZN,141.11247,136.58337
2022-10-14,AMZN,136.563,140.85036
2022-10-17,AMZN,140.54008,136.69904
2022-10-18,AMZN,141.86252,140.26259
2022-10-19,AMZN,141.97105,141.81105
2022-10-20,AMZN,141.50722,141.92227
2022-10-21,AMZN,145.33629,141.45427
2022-10-24,AMZN,147.48766,145.04459
2022-10-25,AMZN,150.33972,147.34537
2022-10-26,AMZN,147.38898,150.0725
2022-10-27,AMZN,142.89874,147.21346
2022-10-28,AMZN,153.69507,142.81914
2022-10-31,AMZN,151.32658,152.95291
2022-11-01,AMZN,148.67189,151.14333
2022-11-02,AMZN,143.12569,148.49635
2022-11-03,AMZN,137.05644,143.12027
2022-11-04,AMZN,136.78954,137.10146
2022-11-07,AMZN,137.32333,136.74796
2022-11-08,AMZN,137.8967,137.24739
2022-11-09,AMZN,133.3199,137.82677
2022-11-10,AMZN,145.18196,133.36235
2022-11-11,AMZN,147.97943,144.377
2022-11-14,AMZN,146.57576,147.56612
2022-11-15,AMZN,148.31554,146.41225
2022-11-16,AMZN,147.07988,147.97453
2022-11-17,AMZN,148.98773,146.80779
2022-11-18,AMZN,149.55118,148.67232
2022-11-21,AMZN,146.30885,149.2371
2022-11-22,AMZN,148.4539,146.07153
2022-11-23,AMZN,149.33372,148.11017
2022-11-25,AMZN,146.40773,149.00658
2022-11-28,AMZN,142.56242,146.16536
2022-11-29,AMZN,139.54747,142.38103
2022-11-30,AMZN,146.32863,139.40114
2022-12-01,AMZN,146.60541,145.85611
2022-12-02,AMZN,146.11118,146.36678
2022-12-05,AMZN,144.94475,145.78642
2022-12-06,AMZN,141.26747,144.68625
2022-12-07,AMZN,139.32013,141.10619
2022-12-08,AMZN,141.01047,139.16168
2022-12-09,AMZN,140.5261,140.82132
2022-12-12,AMZN,142.82936,140.3998
2022-12-13,AMZN,143.79807,142.59334
2022-12-14,AMZN,141.56406,143.6535
2022-12-15,AMZN,134.93114,141.36716
2022-12-16,AMZN,132.96404,134.88094
2022-12-19,AMZN,130.84863,132.88054
2022-12-20,AMZN,130.77942,130.79427
2022-12-21,AMZN,133.89322,130.70457
2022-12-22,AMZN,130.71022,133.59775
2022-12-23,AMZN,130.34448,130.68748
2022-12-27,AMZN,128.53552,130.15012
2022-12-28,AMZN,124.59138,128.50656
2022-12-29,AMZN,128.12035,124.7418
2022-12-30,AMZN,128.43666,127.77527
2023-01-03,AMZN,123.63252,128.33978
2023-01-04,AMZN,124.90771,123.7782
2023-01-05,AMZN,123.58311,124.6432
2023-01-06,AMZN,128.13023,123.65627
2023-01-09,AMZN,128.65416,127.66246
2023-01-10,AMZN,129.22745,128.39331
2023-01-11,AMZN,131.95578,128.79268
2023-01-12,AMZN,131.87668,131.35693
2023-01-13,AMZN,133.21115,131.42863
2023-01-17,AMZN,134.3776,132.65239
2023-01-18,AMZN,133.656,133.82016
2023-01-19,AMZN,133.7153,133.29506
2023-01-20,AMZN,136.2854,133.30508
2023-01-23,AMZN,139.48817,135.68205
2023-01-24,AMZN,140.89186,138.84334
2023-01-25,AMZN,140.22957,140.313
2023-01-26,AMZN,142.3054,139.82118
2023-01-27,AMZN,144.25278,141.73122
2023-01-30,AMZN,141.35646,143.78816
2023-01-31,AMZN,142.63162,141.07245
2023-02-01,AMZN,143.75853,142.31169
2023-02-02,AMZN,149.0866,143.40779
2023-02-03,AMZN,152.72426,148.39975
2023-02-06,AMZN,149.98611,151.93492
2023-02-07,AMZN,152.87256,149.44008
2023-02-08,AMZN,150.17393,152.23306
2023-02-09,AMZN,149.13602,149.65147
2023-02-10,AMZN,149.50229,148.64838
2023-02-13,AMZN,152.31398,148.99803
2023-02-14,AMZN,151.67043,151.78235
2023-02-15,AMZN,153.77919,151.14758
2023-02-16,AMZN,152.17534,153.2348
2023-02-17,AMZN,151.02693,151.7023
2023-02-21,AMZN,146.99759,150.5973
2023-02-22,AMZN,147.42328,146.7907
2023-02-23,AMZN,147.90837,147.08342
2023-02-24,AMZN,145.24525,147.57002
2023-02-27,AMZN,146.44315,145.03325
2023-02-28,AMZN,145.93826,146.10521
2023-03-01,AMZN,143.8592,145.64986
2023-03-02,AMZN,144.45323,143.63295
2023-03-03,AMZN,149.52213,144.13615
2023-03-06,AMZN,152.29416,149.14471
2023-03-07,AMZN,150.08643,151.99748
2023-03-08,AMZN,151.34373,149.7241
2023-03-09,AMZN,149.0865,150.95714
2023-03-10,AMZN,147.01736,148.79544
2023-03-13,AMZN,148.96771,146.73708
2023-03-14,AMZN,151.06653,148.62982
2023-03-15,AMZN,151.46255,150.72258
2023-03-16,AMZN,154.294,151.11389
2023-03-17,AMZN,153.45248,154.00812
2023-03-20,AMZN,155.82849,153.1765
2023-03-21,AMZN,157.68974,155.55345
2023-03-22,AMZN,156.25421,157.33376
2023-03-23,AMZN,157.34323,156.0121
2023-03-24,AMZN,158.65005,157.11441
2023-03-27,AMZN,156.69972,158.29346
2023-03-28,AMZN,156.07602,156.38489
2023-03-29,AMZN,159.16489,155.73769
2023-03-30,AMZN,160.73898,158.72206
2023-03-31,AMZN,163.25365,160.19933
2023-04-03,AMZN,164.51093,162.53719
2023-04-04,AMZN,163.97635,163.75162
2023-04-05,AMZN,162.125,163.29085
2023-04-06,AMZN,163.01604,161.65549
2023-04-10,AMZN,160.4123,162.41173
2023-04-11,AMZN,159.19456,160.15779
2023-04-12,AMZN,158.50156,158.94214
2023-04-13,AMZN,163.90704,158.29817
2023-04-14,AMZN,163.56056,163.20273
2023-04-17,AMZN,163.58034,162.95665
2023-04-18,AMZN,164.80798,162.99144
2023-04-19,AMZN,165.95638,164.19228
2023-04-20,AMZN,164.98616,165.295
2023-04-21,AMZN,163.37244,164.41377
2023-04-24,AMZN,163.67934,162.91878
2023-04-25,AMZN,162.1349,163.16933
2023-04-26,AMZN,162.125,161.8309
2023-04-27,AMZN,166.72859,161.7788
2023-04-28,AMZN,167.98592,166.08011
2023-05-01,AMZN,167.89679,167.35707
2023-05-02,AMZN,166.85728,167.2906
2023-05-03,AMZN,165.77817,166.29211
2023-05-04,AMZN,164.13472,165.28148
2023-05-05,AMZN,171.83707,163.6734
2023-05-08,AMZN,171.76776,170.97934
2023-05-09,AMZN,170.05507,171.03226
2023-05-10,AMZN,171.82715,169.44446
2023-05-11,AMZN,172.01526,171.08516
2023-05-12,AMZN,171.08336,171.29541
2023-05-15,AMZN,170.58766,170.45836
2023-05-16,AMZN,170.58766,169.95062
2023-05-17,AMZN,171.20233,169.95415
2023-05-18,AMZN,173.542,170.57797
2023-05-19,AMZN,173.65103,172.70395
2023-05-22,AMZN,172.69933,172.85294
2023-05-23,AMZN,170.08206,171.94913
2023-05-24,AMZN,170.35966,169.4589
2023-05-25,AMZN,171.49974,169.74338
2023-05-26,AMZN,173.91873,170.85963
2023-05-30,AMZN,175.77263,173.1107
2023-05-31,AMZN,175.72305,174.93059
2023-06-01,AMZN,178.53857,174.90704
