date,fb,vd,lm,sentiment,ticker
2009-01-02,,,,0.5,AMZN
2009-01-05,,,,0.5,AMZN
2009-01-06,,,,0.5,AMZN
2009-01-07,,,,0.5,AMZN
2009-01-08,,,,0.5,AMZN
2009-01-09,,,,0.5,AMZN
2009-01-12,,,,0.5,AMZN
2009-01-13,,,,0.5,AMZN
2009-01-14,,,,0.5,AMZN
2009-01-15,,,,0.5,AMZN
2009-01-16,,,,0.5,AMZN
2009-01-20,,,,0.5,AMZN
2009-01-21,,,,0.5,AMZN
2009-01-22,,,,0.5,AMZN
2009-01-23,,,,0.5,AMZN
2009-01-26,,,,0.5,AMZN
2009-01-27,,,,0.5,AMZN
2009-01-28,,,,0.5,AMZN
2009-01-29,,,,0.5,AMZN
2009-01-30,,,,0.5,AMZN
2009-02-02,,,,0.5,AMZN
2009-02-03,,,,0.5,AMZN
2009-02-04,,,,0.5,AMZN
2009-02-05,,,,0.5,AMZN
2009-02-06,,,,0.5,AMZN
2009-02-09,,,,0.5,AMZN
2009-02-10,,,,0.5,AMZN
2009-02-11,,,,0.5,AMZN
2009-02-12,,,,0.5,AMZN
2009-02-13,,,,0.5,AMZN
2009-02-17,,,,0.5,AMZN
2009-02-18,,,,0.5,AMZN
2009-02-19,,,,0.5,AMZN
2009-02-20,,,,0.5,AMZN
2009-02-23,,,,0.5,AMZN
2009-02-24,,,,0.5,AMZN
2009-02-25,,,,0.5,AMZN
2009-02-26,,,,0.5,AMZN
2009-02-27,,,,0.5,AMZN
2009-03-02,,,,0.5,AMZN
2009-03-03,,,,0.5,AMZN
2009-03-04,,,,0.5,AMZN
2009-03-05,,,,0.5,AMZN
2009-03-06,,,,0.5,AMZN
2009-03-09,,,,0.5,AMZN
2009-03-10,,,,0.5,AMZN
2009-03-11,,,,0.5,AMZN
2009-03-12,,,,0.5,AMZN
2009-03-13,,,,0.5,AMZN
2009-03-16,,,,0.5,AMZN
2009-03-17,,,,0.5,AMZN
2009-03-18,,,,0.5,AMZN
2009-03-19,,,,0.5,AMZN
2009-03-20,,,,0.5,AMZN
2009-03-23,,,,0.5,AMZN
2009-03-24,,,,0.5,AMZN
2009-03-25,,,,0.5,AMZN
2009-03-26,,,,0.5,AMZN
2009-03-27,,,,0.5,AMZN
2009-03-30,,,,0.5,AMZN
2009-03-31,,,,0.5,AMZN
2009-04-01,,,,0.5,AMZN
2009-04-02,,,,0.5,AMZN
2009-04-03,,,,0.5,AMZN
2009-04-06,,,,0.5,AMZN
2009-04-07,,,,0.5,AMZN
2009-04-08,,,,0.5,AMZN
2009-04-09,,,,0.5,AMZN
2009-04-13,,,,0.5,AMZN
2009-04-14,,,,0.5,AMZN
2009-04-15,,,,0.5,AMZN
2009-04-16,,,,0.5,AMZN
2009-04-17,,,,0.5,AMZN
2009-04-20,,,,0.5,AMZN
2009-04-21,,,,0.5,AMZN
2009-04-22,,,,0.5,AMZN
2009-04-23,,,,0.5,AMZN
2009-04-24,,,,0.5,AMZN
2009-04-27,,,,0.5,AMZN
2009-04-28,,,,0.5,AMZN
2009-04-29,,,,0.5,AMZN
