,Ticker,MA20,MACD,Signal_Line,Volume
0,HD,0.1332176444594122,0.46211559968004107,0.45817448140433026,0.0
1,HD,0.1307492312002152,0.4311539991697334,0.4490748543004861,0.0817813194078987
2,HD,0.1279681992138506,0.3963094203786442,0.4341036225906946,0.06353587442303653
3,HD,0.12525880656775934,0.37460704259661415,0.4173360931510729,0.049268630172482966
4,HD,0.12323164809243048,0.36930921465206,0.402752636530426,0.04923438674189772
5,HD,0.12136894216378558,0.3659208894058703,0.39033793837676023,0.04487167146614185
6,HD,0.12070129854183875,0.3888232609846694,0.3854616084109491,0.0576344195201865
7,HD,0.11917237964122696,0.395308306449029,0.38299204178004737,0.11776094303341256
8,HD,0.11741023852966892,0.3929120440466388,0.380487441796694,0.0
9,HD,0.11570710082792446,0.39381004677179743,0.3786819853261009,0.0
10,HD,0.11419284045193057,0.39782736810442765,0.3781243964783676,0.0
11,HD,0.11289024519622992,0.4042428185872792,0.37909446047013284,0.0
12,HD,0.1117765296513955,0.4154939563808043,0.3823540677051451,0.0
13,HD,0.11066607058476263,0.42578090258751683,0.38723247560767726,0.0
14,HD,0.10958166334374009,0.4351951978791354,0.3932132966413652,0.0
15,HD,0.10867961888198852,0.44876206342239366,0.40099267911330094,0.0
16,HD,0.10745843955651235,0.4533080720720807,0.40821966291276324,0.0
17,HD,0.10752356912053784,0.48781132538909183,0.42161743640412774,0.06686089449633109
18,HD,0.10715395884469392,0.5005413397052374,0.43514565579846637,0.04649406046844672
19,HD,0.10707905944854534,0.5162403674382898,0.44943360662878834,0.033393818703012175
20,HD,0.10717675299954488,0.5330899542015831,0.46458331495124666,0.02609179045269304
21,HD,0.10856401589344,0.5476988099928132,0.4799278143186513,0.04584496857526373
22,HD,0.10941884142127334,0.5341927193260049,0.4892221035051629,0.07084590984369152
23,HD,0.10980962278061868,0.5162751013967949,0.49270243190604807,0.10593673756192566
24,HD,0.10974937872893387,0.5012847450605593,0.49217775016906584,0.0
25,HD,0.1094953738267539,0.48405433458633945,0.48795459477617137,0.0
26,HD,0.10811143657942024,0.4670991538975795,0.4808334141893298,0.0
27,HD,0.1073917525118242,0.4577289609560661,0.4730681100821098,0.0
28,HD,0.10765591802351082,0.46628868768049636,0.4687453255702845,0.0
29,HD,0.10788387149759959,0.4740475907198539,0.4669997843462559,0.0
30,HD,0.10715116390231394,0.45900411243945494,0.46228268086636015,0.0
31,HD,0.10691995395002407,0.462067873672172,0.459185287259518,0.0
32,HD,0.10634030083019841,0.4615024473687273,0.4565825611826991,0.0
33,HD,0.10641194335062631,0.4779540450141903,0.45813187657310533,0.0
34,HD,0.10481301096372553,0.45069964723730765,0.4533552418459576,0.08074566858935295
35,HD,0.10249439808690286,0.4177394330909151,0.4422583553202999,0.09557750353124729
36,HD,0.10015982679731228,0.3857953944618179,0.42632957612278904,0.07532311061871745
37,HD,0.09682844601974017,0.36807210067027873,0.4096743445791904,0.09758713292022013
38,HD,0.09372339286227183,0.346790055438984,0.39165239872829566,0.05096410589976828
39,HD,0.09027804329804145,0.3292614610313578,0.3733656114559085,0.08725004638196007
40,HD,0.08659496724744487,0.31638809751674385,0.3558945383909635,0.14797898168896437
41,HD,0.08293794182989989,0.31081712744195955,0.34068795396455853,0.0
42,HD,0.080266001068239,0.3083199100153118,0.32797145511323667,0.0
43,HD,0.0781036983500385,0.3140800008083078,0.3190697281758538,0.0
44,HD,0.07595442273720066,0.3202637418651937,0.31331333457146504,0.0
45,HD,0.07362929730149448,0.3173799630849057,0.3080716595156536,0.0
46,HD,0.07204013593927527,0.3315845048302933,0.3070138046208014,0.0
47,HD,0.07053889948848968,0.3503243654537975,0.31030412403556523,0.0
48,HD,0.06842870161406767,0.36722121804784,0.3166661606005541,0.0
49,HD,0.06640317217287839,0.38471413567296164,0.32561714521503,0.0
50,HD,0.06485634502727522,0.39003608022533925,0.3339526894324551,0.0
51,HD,0.06328997662734892,0.40936315045314065,0.34488734773527163,0.14484528187709877
52,HD,0.06201832228727233,0.42935632250017314,0.35804833143111214,0.10509138481285113
53,HD,0.06003023876772384,0.4447396721740309,0.3719728114922227,0.06426401582762027
54,HD,0.059880443553100626,0.4620372799188236,0.3869306385497898,0.039458824319105155
55,HD,0.06024191780119259,0.4763716986962739,0.4020610541695021,0.05197658703393796
56,HD,0.06107138159694059,0.4922723973914625,0.41767527846775476,0.08184162873340706
57,HD,0.06171453802928806,0.506259152652018,0.43325406925685384,0.053915855543151064
58,HD,0.06268822620402537,0.5163394427043753,0.44794220709260585,0.0
59,HD,0.06387358029409396,0.5266329260985946,0.4619648824828128,0.0
60,HD,0.06511755496697913,0.5347435627436741,0.4749733502277028,0.0
61,HD,0.06628663064123486,0.541290767262223,0.4868253426438548,0.0
62,HD,0.06760876079095035,0.5494089007304749,0.4980989188448449,0.0
63,HD,0.06873875872679025,0.5560340568177137,0.5085802049157867,0.0
64,HD,0.07013578787513519,0.5666764965856524,0.5193144269002112,0.0
65,HD,0.0717282057155555,0.5692619646724495,0.5284725160908942,0.0
66,HD,0.07275399634895541,0.5710072265415116,0.5361842334282135,0.0
67,HD,0.0735681158992727,0.5720743181617037,0.5425891551945488,0.0
68,HD,0.07336262822908357,0.5476328633770033,0.5423179295752194,0.10819748544185695
69,HD,0.07243615938578385,0.5130290401041768,0.5344625629957149,0.10287867995493495
70,HD,0.07228310451280473,0.4950091922765854,0.5242006007387866,0.07127284535138614
71,HD,0.07157970402877267,0.4813770609075655,0.512981898626563,0.058452173086401285
72,HD,0.07112704878856446,0.4808663159853112,0.5038941960157627,0.05571355046621323
73,HD,0.07075581544137077,0.481591947673346,0.49678420856864464,0.054984046139019124
74,HD,0.07043667699997247,0.4882611617753946,0.49256836900852147,0.09572452880783966
75,HD,0.07012405032241897,0.49412908422566726,0.49049097207134174,0.0
76,HD,0.06948258508033045,0.49514252114715124,0.4890527587758095,0.0
77,HD,0.06886548405126725,0.49802931647478116,0.4885394141789514,0.0
78,HD,0.06827280501863653,0.5001048159662554,0.4885868805486057,0.0
79,HD,0.06745217251191682,0.4987303150064691,0.48832144875981814,0.0
80,HD,0.06664456591800194,0.4983362860730009,0.4880221260864648,0.0
81,HD,0.06564157063201104,0.49385110184197056,0.4867926163993,0.0
82,HD,0.06467765308443507,0.4948230662511913,0.4860235583355679,0.0
83,HD,0.06344344784615408,0.4898534457636513,0.4843113267429201,0.0
84,HD,0.06278238396385416,0.5061992048233603,0.48654967510046376,0.07512514610956296
85,HD,0.06237206453033983,0.5200817565690417,0.4914047634394188,0.044501637977429655
86,HD,0.06180869022384661,0.5274909236005421,0.4969243203949031,0.027386226201880526
87,HD,0.06149932081953291,0.5397107633570742,0.5040373515403457,0.030634411513016165
88,HD,0.06243425642665179,0.5548428074182141,0.5130679968094743,0.03365021851908577
89,HD,0.06433766833281296,0.5748748141427714,0.5247143423756521,0.052033829783572995
90,HD,0.06582913097628218,0.5888694540717965,0.5371205706267129,0.08548557269752538
91,HD,0.06737270522135752,0.6005262171556347,0.5496186462705628,0.0
92,HD,0.06838384607556414,0.6054342659805029,0.5607005007085653,0.0
93,HD,0.06966526865768619,0.6156036545327885,0.5718107569070227,0.0
94,HD,0.07052823776613848,0.6178988022598394,0.5812055886717603,0.0
95,HD,0.07114045566797733,0.6127227609341904,0.5875789039751264,0.0
96,HD,0.0722938025525206,0.616981553633833,0.5936176345044086,0.0
97,HD,0.07307535732082537,0.6119192074787403,0.5973311656880931,0.0
98,HD,0.07331308022951788,0.5931531479122165,0.5961596041965519,0.0
99,HD,0.0736908317008651,0.5778180059455276,0.5918373031819748,0.0
100,HD,0.07558284553580252,0.6026615425901353,0.5938633802336191,0.0
101,HD,0.0766379412928595,0.5962685709910627,0.5940730687535999,0.1090937774234936
102,HD,0.0773413385967372,0.5859673522198647,0.5919669469546943,0.05896957258235843
103,HD,0.07797634985838786,0.5694523539494679,0.586636558323109,0.043827161650628756
104,HD,0.0771394325755459,0.5398053475262776,0.5758280202233216,0.054954232206917544
105,HD,0.07683984214629946,0.5304271391264926,0.5651110607878161,0.03465026298443593
106,HD,0.07721108543147603,0.5359195135511847,0.5577498701505739,0.05927299322848937
