,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2009-01-02,AAPL,2.7309939861297607,3.2514290809631348,3.041429042816162,3.067142963409424,746015200.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,2.7309939861297607,2.7309939861297607,39.189998626708984,0.0
0,2009-01-02,ADBE,23.020000457763672,23.100000381469727,21.06999969482422,21.110000610351562,6670700.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,23.020000457763672,23.020000457763672,39.189998626708984,0.0
0,2009-01-02,AMD,2.380000114440918,2.430000066757202,2.1700000762939453,2.190000057220459,13832100.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,2.380000114440918,2.380000114440918,39.189998626708984,0.0
0,2009-01-02,AMZN,2.7179999351501465,2.7265000343322754,2.553499937057495,2.567500114440918,145928000.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,2.7179999351501465,2.7179999351501465,39.189998626708984,0.0
0,2009-01-02,CRM,8.444491386413574,8.550000190734863,7.912499904632568,8.024999618530273,4069200.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,8.444491386413574,8.444491386413574,39.189998626708984,0.0
0,2009-01-02,GOOGL,8.00278091430664,8.053553581237793,7.645144939422607,7.722723007202148,144275580.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,8.00278091430664,8.00278091430664,39.189998626708984,0.0
0,2009-01-02,IBM,48.03281021118164,83.73805236816406,80.20076751708984,80.20076751708984,7905877.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,48.03281021118164,48.03281021118164,39.189998626708984,0.0
0,2009-01-02,INTC,9.516950607299805,15.25,14.470000267028809,14.6899995803833,52208200.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,9.516950607299805,9.516950607299805,39.189998626708984,0.0
0,2009-01-02,MSFT,14.924775123596191,20.399999618530273,19.3700008392334,19.530000686645508,50084000.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,14.924775123596191,14.924775123596191,39.189998626708984,0.0
0,2009-01-02,NFLX,4.2671427726745605,4.357142925262451,4.199999809265137,4.2171430587768555,6605200.0,4.0,0.0,2.9516237407822667,2.625622925172323,100.0,66.66666666666667,100.0,4.2671427726745605,4.2671427726745605,39.189998626708984,0.0
